location,area,new/resale,furnished,price
Dhakoli,1300,0,0,2850000
Dhakoli,1400,0,0,3600000
Dhakoli,1350,0,0,3690000
New chandigarh mohali,1200,0,1,10000000
Sunny Enclave,1008,1,0,3090000
Dhakoli,1500,0,0,3200000
New chandigarh mohali,1596,0,0,9500000
Dhakoli,1611,1,0,6390000
Sector 79,1800,0,1,13000000
Sector 80,2000,0,0,17000000
Sector 64,2450,1,0,14500000
Dhakoli,1350,1,0,3990000
Dhakoli,1655,1,0,7000000
Dhakoli,1349,1,0,4000000
Dhakoli,900,1,0,2400000
Sector 22,1125,0,0,15000000
Sector 80,1300,0,0,7200000
Preet Colony,855,1,0,2790000
New chandigarh mohali,1778,1,0,10600000
Sunny Enclave,1350,1,0,3490000
Sector 71,1350,0,0,5500000
Sector 50,1500,0,0,18500000
New chandigarh mohali,1995,0,0,12500000
Sector 15,2250,1,0,28500000
Dhakoli,1150,1,0,3000000
Lohgarh,1300,1,0,4890000
Sector 78,1836,0,0,11000000
Sector 79,1350,0,0,5800000
Sector 63,1050,0,0,5500000
New chandigarh mohali,2700,0,0,7500000
Dhakoli,1755,1,0,6900000
New chandigarh mohali,1640,0,0,6500000
Sector 51,1100,0,0,13500000
Sector 60,1100,0,0,7500000
New chandigarh mohali,4093,1,0,27500000
Sector 78,1125,1,0,8000000
New chandigarh mohali,1560,0,0,9500000
Dhakoli,900,0,0,2750000
Dhakoli,990,1,0,3555000
Sector 79,1800,0,0,10500000
Sunny Enclave,1080,1,0,3490000
Dhakoli,1358,1,0,3800000
Dhakoli,900,1,0,3190000
Dhakoli,1125,1,0,4200000
New chandigarh mohali,1415,1,0,7950100
Sector 35,1575,0,0,12000000
Sunny Enclave,600,1,0,1690000
Sector 16,9000,0,0,100000000
Lohgarh,1350,1,0,6200000
Sector 34,3250,0,0,32500000
New chandigarh mohali,1596,0,0,9505000
Sector 19,3000,0,0,51000000
Gazipur,1450,1,0,3900000
Lohgarh,1800,0,0,6200000
Sector 60,2250,1,0,16000000
Sunny Enclave,1350,1,0,4299000
Sector 49,1200,1,0,31900000
Sector 78,1440,0,0,9000000
Dhakoli,2079,1,0,7900000
New chandigarh mohali,1640,0,0,6499320
Dhakoli,1080,1,0,3200000
Dhakoli,855,1,0,2790000
Sector 22,1400,1,0,11000000
Dhakoli,1044,0,0,3950000
Dhakoli,1640,1,0,7890000
Sector 34,2250,1,0,23600000
Sector 21,5400,1,0,42500000
Sector 69,4500,0,0,25000000
Lohgarh,1325,1,0,4750000
Togan,2250,1,0,7500000
Sector 59,2250,0,0,12500000
Sunny Enclave,1035,1,0,3090000
Dhakoli,1300,1,0,3600000
Dhakoli,1200,1,0,3090000
Dera Bassi,990,1,0,2420000
Dhakoli,1772,1,0,7020000
Patiala Road Zirakpur,1080,1,0,3590000
Dhakoli,1450,1,0,5800000
Lohgarh,1800,1,0,6350000
Sector 15,2250,1,0,23500000
New chandigarh mohali,1180,0,0,5700000
Dhakoli,855,1,0,2790000
Dhakoli,900,0,0,2750000
Sector 79,1350,1,0,7500000
Togan,2250,1,0,7890000
Mohali Sector 127,900,1,0,3290000
Omaxe New Chandigarh,1395,1,0,4729000
Peermachhala,1050,1,0,3080000
Dhakoli,1000,1,0,4450000
Sector 34,3250,0,0,23500000
Zirakpur GAzipur Road,1150,1,0,2790000
Sec 124 Sunny Enclave,850,1,0,3590000
Sunny Enclave,1100,1,0,3490000
Dhakoli,1360,1,0,3800000
Dhakoli,1755,1,0,6500003
Mohali Sector 127,600,1,0,1790000
Mohali Sector 127,1100,1,1,2690000
Mohali Sector 127,930,1,0,2750000
Mohali Sector 127,1050,1,0,2690000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,4000000
Dhakoli,1100,1,0,3890000
Dhakoli,1100,1,0,3690000
Dhakoli,1190,1,0,3600000
Dhakoli,1125,1,0,3890000
Dhakoli,1100,1,0,3790000
Dhakoli,1755,1,0,6200000
Dhakoli,900,1,0,2990000
Dhakoli,1150,1,0,3750000
Dhakoli,900,1,0,3000000
